chlor_a,ss
0.37212494,26.654999
0.39740074,26.67
0.39799616,26.695
0.383662,26.689999
0.3661331,26.715
0.37197214,26.765
0.3735562,26.765
0.3653772,26.74
0.36302784,26.73
0.3632659,26.685
0.3631364,26.734999
0.347451,26.73
0.33618075,26.635
0.33457112,26.43
0.3311849,26.445
0.32538357,26.48
0.327349,26.484999
0.34009108,26.494999
0.36172685,26.414999
0.3765417,26.31
0.37541595,26.275
0.3644462,26.3
0.35916233,26.34
0.37405995,26.34
0.39666367,27.455
0.35034266,27.359999
0.34262377,27.4
0.3629419,27.255
0.38813627,27.05
0.39083946,27.039999
NaN,27.425
NaN,NaN
NaN,NaN
NaN,26.74
0.39327633,26.925
0.3509491,26.865
0.3383593,26.82
0.3304041,26.875
0.32289922,26.71
0.33400384,26.685
0.33609226,26.74
0.38507715,26.695
0.3485237,26.73
0.30249077,26.72
0.32095602,26.765
0.36453286,26.795
0.37047195,26.81
0.3771247,26.82
0.40003428,26.765
0.40417588,26.705
0.35675386,26.535
0.39983344,26.619999
0.41680393,26.685
0.41161436,26.699999
0.40640226,26.64
0.40745458,26.68
0.3788424,26.695
0.3624943,26.73
0.3550388,26.755
0.35661182,26.705
0.36184672,26.734999
0.351022,26.744999
0.33349416,26.625
0.33194217,26.595
0.32993063,26.57
0.33720285,26.529999
0.34335297,26.56
0.35588276,26.529999
0.37986866,26.494999
0.38277608,26.365
0.3658529,26.345
0.35100907,26.34
0.35386562,26.289999
0.37448946,26.32
0.38980216,27.414999
0.36333126,27.51
0.34251338,27.414999
0.33997977,27.3
0.34702995,27.215
0.35871413,27.215
