Pixel-X,Pixel-Y,Longitude,Latitude,chlor_a,sst
7.5,6.5,123.5624949,-5.104166667,0.33280125,27.029999
8.5,6.5,123.6041616,-5.104166667,0.33255652,26.96
9.5,6.5,123.6458282,-5.104166667,0.34004733,26.885
10.5,6.5,123.6874949,-5.104166667,0.34620854,26.82
11.5,6.5,123.7291616,-5.104166667,NaN,26.744999
12.5,6.5,123.7708282,-5.104166667,0.36150718,26.769999
13.5,6.5,123.8124949,-5.104166667,0.25252992,26.785
14.5,6.5,123.8541616,-5.104166667,0.25148258,26.789999
15.5,6.5,123.8958282,-5.104166667,0.26949978,26.824999
16.5,6.5,123.9374949,-5.104166667,0.3100602,26.765
17.5,6.5,123.9791616,-5.104166667,0.37630168,26.625
18.5,6.5,124.0208282,-5.104166667,0.3708049,26.585
19.5,6.5,124.0624949,-5.104166667,0.36148012,26.564999
20.5,6.5,124.1041616,-5.104166667,0.3553937,26.619999
21.5,6.5,124.1458282,-5.104166667,0.3368191,26.664999
22.5,6.5,124.1874949,-5.104166667,0.32723996,26.699999
23.5,6.5,124.2291616,-5.104166667,0.35989657,26.644999
24.5,6.5,124.2708282,-5.104166667,0.35597992,26.644999
25.5,6.5,124.3124949,-5.104166667,0.35298374,26.635
26.5,6.5,124.3541616,-5.104166667,0.3742931,26.644999
27.5,6.5,124.3958282,-5.104166667,0.39159894,26.635
28.5,6.5,124.4374949,-5.104166667,0.3871579,26.625
29.5,6.5,124.4791616,-5.104166667,0.3775983,26.715
30.5,6.5,124.5208282,-5.104166667,0.3427585,26.74
31.5,6.5,124.5624949,-5.104166667,0.3187371,26.76
32.5,6.5,124.6041616,-5.104166667,0.30839574,26.715
33.5,6.5,124.6458282,-5.104166667,0.3209061,26.71
34.5,6.5,124.6874949,-5.104166667,0.32185978,26.765
35.5,6.5,124.7291616,-5.104166667,0.33200768,26.789999
36.5,6.5,124.7708282,-5.104166667,0.33151457,26.74
37.5,6.5,124.8124949,-5.104166667,0.33662546,26.635
38.5,6.5,124.8541616,-5.104166667,0.35523388,26.574999
39.5,6.5,124.8958282,-5.104166667,0.37579098,26.494999
40.5,6.5,124.9374949,-5.104166667,0.36141357,26.425
